sep=|
Open?|Time|Days of Week|Location|Dates|CRN|Subject|Course #|Section|Campus|Credits|Course Title|Seats Remaining|Waitlist Actual|Waitlist Remaining|Instructor(s)|
false|7:30 am - 8:55 am|MR|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|10070|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|30|0|0|Sean   Fitzsimons (P)|
false|12:15 pm - 1:40 pm|MR|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|10071|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|0|0|0|Robert   Meiselas (P)|
false|1:50 pm - 3:15 pm|TF|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|10072|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|19|0|0|Gerald Emanuel  Singh (P)|
false|9:05 am - 10:30 am|MR|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|10231|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|26|0|0|Sean   Fitzsimons (P)|
false|10:40 am - 12:05 pm|TF|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|10232|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|28|0|0|Jeremiah J.  O'Sullivan (P)|
false|12:15 pm - 1:40 pm|TF|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|10504|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|30|0|0|Jeremiah J.  O'Sullivan (P)|
false|10:40 am - 12:05 pm|MR|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|10505|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|10|0|0|Almerinda   Forte (P)|
false|9:30 am - 11:15 am|S|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|10915|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|26|0|0|Gerald Emanuel  Singh (P)|
false|3:25 pm - 4:50 pm|MR|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|10916|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|18|0|0|Robert   Meiselas (P)|
false|7:10 pm - 10:00 pm|W|DASILVA  ACADEMIC CENTER 214|Jan 22, 2014 - May 13, 2014|13087|ACC|1007|0|S|3.000|FUNDAMENTALS OF ACCOUNTING I|10|0|0|John   D'Amico (P)|
false|7:30 am - 8:55 am|TF|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|13827|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|23|0|0|Panayiotis S.  Andreou (P)|
false|7:10 pm - 10:00 pm|T|MARILLAC HALL 122|Jan 22, 2014 - May 13, 2014|14853|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|26|0|0|Charles J.  Gonsalves (P)|
false|10:40 am - 12:05 pm|MR|LAVELLE HALL 206B|Jan 22, 2014 - May 13, 2014|15489|ACC|1007|0|S|3.000|FUNDAMENTALS OF ACCOUNTING I|8|0|0|Rosalba   Mazzola (P)|
false|7:10 pm - 10:00 pm|T|DASILVA  ACADEMIC CENTER 214|Jan 22, 2014 - May 13, 2014|10200|ACC|1008|0|S|3.000|FUNDAMENTALS OF ACCOUNTING II|3|0|0|Mark   Buro (P)|
false|7:10 pm - 10:00 pm|M|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|10802|ACC|1008|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|6|0|0|Robert G.  Pennachio (P)|
false|9:05 am - 10:30 am|MR|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|10971|ACC|1008|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|0|0|0|Almerinda   Forte (P)|
false|7:10 pm - 10:00 pm|T|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|13079|ACC|1008|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING|26|0|0|Ruchika   Sharma (P)|
false|9:05 am - 10:30 am|TF|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|13081|ACC|1008|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|28|0|0|Jeremiah J.  O'Sullivan (P)|
false|7:10 pm - 10:00 pm|M|LAVELLE HALL 104|Jan 22, 2014 - May 13, 2014|13086|ACC|1008|0|S|3.000|FUNDAMENTALS OF ACCOUNTING II|8|0|0|John   D'Amico (P)|
false|10:40 am - 1:30 pm|W|ST. JOHN HALL 208|Jan 22, 2014 - May 13, 2014|10003|ACC|2338|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|33|0|5|Yeong C.  Choi (P)|
false|12:15 pm - 1:40 pm|TF|ST. JOHN HALL 206|Jan 22, 2014 - May 13, 2014|10431|ACC|2338|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|30|0|0|Vijay P  Kumar (P)|
false|3:25 pm - 4:50 pm|MR|ST. JOHN HALL 208|Jan 22, 2014 - May 13, 2014|11740|ACC|2338|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|33|0|0|TBA|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|16293|ACC|2338|0|D|3.000|FUNDAMENTALS OF ACCOUNTING I|13|0|0|Teresa   Danile (P)|
false|1:50 pm - 4:40 pm|W|ST. JOHN HALL 208|Jan 22, 2014 - May 13, 2014|10001|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|34|0|0|Yeong C.  Choi (P)|
false|1:50 pm - 3:15 pm|TF|D'ANGELO CENTER 207|Jan 22, 2014 - May 13, 2014|10052|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|20|0|0|Mark Morgan  Ulrich (P)|
false|10:40 am - 12:05 pm|TF|MAHONEY HALL 203B|Jan 22, 2014 - May 13, 2014|10175|ACC|2339|0|S|3.000|FUNDAMENTALS OF ACCOUNTING II|33|0|0|Craig A.  Latshaw (P)|
false|12:15 pm - 1:40 pm|MR|ST. JOHN HALL 206|Jan 22, 2014 - May 13, 2014|10506|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|32|0|0|Lawrence J.  Ruisi (P)|
false|9:05 am - 10:30 am|TF|ST. JOHN HALL 208|Jan 22, 2014 - May 13, 2014|10876|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|6|0|0|Mark Morgan  Ulrich (P)|
false|3:25 pm - 4:50 pm|MR|ST. JOHN HALL 209|Jan 22, 2014 - May 13, 2014|10991|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|21|0|5|Biagio   Pilato (P)|
false|9:05 am - 10:30 am|TF|ST. JOHN HALL 209|Jan 22, 2014 - May 13, 2014|11757|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|35|0|0|Jialin   Sun (P)|
false|9:05 am - 10:30 am|MR|MARILLAC HALL 433|Jan 22, 2014 - May 13, 2014|12025|ACC|2339|0|Q|3.000|FUND OF ACCOUNTING II-HONORS|0|0|0|Biagio   Pilato (P)|
false|5:00 pm - 6:25 pm|MR|MARILLAC HALL 306B|Jan 22, 2014 - May 13, 2014|15454|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|26|0|0|Patrick A.  Casabona (P)|
false|12:15 pm - 1:40 pm|TF|MARILLAC HALL 225|Jan 22, 2014 - May 13, 2014|15492|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|28|0|0|Jialin   Sun (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|15713|ACC|2339|0|D|3.000|FUNDAMENTALS OF ACCOUNTING II|0|0|0|Teresa   Danile (P)|
